好	a
叉	fvc
琅	fvd
蚤	fve
灰	fvh
咎	fvk
玷	fvkd
砧	fvkz
璨	fvm
昝	fvn
盔	fvo
琰	fvv
玉	fvy
王	fwa
玩	fwh
瓒	fwhc
珑	fwl
码	fwm
玛	fwma
琥	fwo
磋	fwoc
玮	fwol
砖	fwov
琢	fwv
璩	fww
矸	fxg
砰	fxi
碴	fxn
条	fxt
琳	fxx
斫	fxz
布	fyb
磙	fyi
又	fyo
斑	fyr
玟	fyrw
碎	fys
璇	fyt
砥	fyv
硒	fyx
丈	fzh
夂	fzhi
夂	fzho
硗	fzhq
砩	fzi
碱	fzk
戏	fzx
趋	gad
跪	gah
跑	gaj
靖	gam
徇	gan
妾	gaq
软	gar
趵	gav
妄	gaw
街	gbb
跬	gbbk
待	gbd
辅	gbf
辕	gbk
艘	gbl
轴	gbz
舳	gbzh
辎	gcb
衍	gcg
愆	gcgj
车	gch
彳	gchi
亍	gchu
颏	gck
踏	gcn
轻	gco
径	gcoj
躐	gcw
舸	gdk
轲	gdkk
律	gdw
踺	gdwl
跟	gdy
蹈	geb
辏	gee
趺	gef
癸	geg
输	gem
踌	gemd
徭	geo
徘	gep
蹊	geu
跨	gew
踩	gex
飞	gfe
轰	gff
辍	gfff
辨	gfi
路	gfk
鹭	gfke
辂	gfkl
辩	gfl
瓣	gfo
辫	gfu
辣	gfx
跖	gfz
徙	ggg
行	ggh
行	gghe
踣	ggk
辙	ggm
艟	ggn
蹬	ggo
徒	ggt
行	ggx
蹄	ggy
趾	ggz
亥	gha
跳	ghc
舨	ghf
轭	ghj
踞	ghm
躔	ghn
艋	gho
蹰	ghod
循	ghp
踬	ghpc
辗	ghr
踱	ghrf
蹶	ghs
艉	ghu
踮	ghv
步	gib
频	gic
徜	gich
颦	gicp
踯	gie
距	gii
蹿	gik
蹦	gim
邙	gima
艄	gims
墼	gio
趴	gip
微	giq
徵	giqf
舢	gis
趟	git
踹	gitc
端	gitd
徽	giu
蹭	giv
蹲	giy
趣	gjf
蹑	gjff
竣	gji
跽	gjj
衢	gjjg
跆	gjk
盲	gjm
踊	gjo
辄	gjoz
起	gjq
艏	gjs
车	gju
忘	gjw
趔	gjz
舶	gkb
徨	gkf
竞	gkh
徊	gkhu
轵	gki
辑	gkj
赢	gkm
嬴	gkmv
羸	gkmv
蠃	gkmv
瓿	gko
軎	gkw
躁	gkx
徼	gky
剖	gkz
轷	glh
立	gli
连	gll
跹	gllx
踵	gln
趿	glv
躞	glvf
迅	glx
艇	gmb
产	gmc
跃	gme
跌	gmed
轿	gmei
轶	gmey
望	gmf
轱	gmg
肓	gmh
肯	gmk
踽	gmkw
彦	gmu
颜	gmuc
育	gmy
韵	gna
竭	gnao
歆	gnax
趑	gnaz
童	gnb
得	gnd
赣	gnf
戆	gnfj
竟	gnh
鄣	gni
意	gnj
彰	gnu
蹋	gnut
辊	gnuu
踝	gnx
踢	gny
章	gnz
韶	gnzk
躅	goa
舡	goc
登	god
般	gof
磐	goff
役	gofy
轨	gog
劾	goh
船	gok
跏	gokj
辚	gom
凳	goo
盘	gop
飒	gor
跺	gox
舡	goxi
轧	goy
轧	goz
辖	gpe
歧	gpf
蹴	gpi
德	gpo
舵	gpu
蹁	gpur
跎	gput
踪	gpv
辛	gpx
征	gqg
惩	gqgj
亲	gqi
轾	gqj
辐	gqk
衡	gqs
躇	grh
趼	grj
艚	grn
蹀	gro
躏	grp
弃	grq
艨	gru
蹒	grw
蹼	grwv
赵	grz
徐	gsd
跗	gsdf
辁	gsf
舱	gsj
跄	gsjq
氓	gsm
趁	gsu
轸	gsuz
徂	gtc
蹯	gti
趄	gtj
踟	gtk
衙	gtkg
舴	gtl
御	gtq
趄	gtqi
觜	gua
彼	gub
跋	guba
跛	gubo
此	guc
赀	gucz
雌	gue
後	guf
砦	gufz
舰	guh
跞	gui
辋	guig
轹	guil
赳	guj
訾	gul
轼	guo
紫	guu
舭	guub
跸	guup
跚	guuq
些	guw
柴	gux
翊	guy
彻	guz
踉	gvd
赴	gvf
舻	gvh
轳	gvhl
站	gvk
踔	gvn
舣	gvr
舯	gvz
亡	gwa
跣	gwh
趱	gwhc
躜	gwhc
辆	gwl
辘	gwlu
蹉	gwo
毅	gwof
转	gwov
徉	gwy
堑	gxb
赶	gxg
徕	gxi
竦	gxk
暂	gxn
轩	gxx
椠	gxxq
斩	gxz
錾	gxzz
帝	gyd
舫	gyf
啻	gyk
航	gyo
旁	gyp
彷	gypa
较	gyr
跻	gyri
跤	gyrj
舷	gyu
舾	gyx
衔	gzg
止	gzh
舟	gzho
跷	gzhq
践	gzj
刻	gzk
超	gzkc
轺	gzky
走	gzo
足	gzu
轫	gzv
蹂	gzx
越	gzy
廒	haa
疱	haj
庖	hajp
廨	hao
痪	hau
疚	hav
尥	havl
痔	hbd
届	hbj
痣	hbjz
瘦	hbl
庙	hbm
甥	hbo
痹	hbq
庾	hbs
瘐	hbsy
瘰	hbu
压	hbv
庄	hbz
瘿	hcc
厂	hch
函	hci
痧	hcis
逃	hcl
尿	hcn
痉	hco
鼗	hcof
丞	hcq
卺	hcqj
尿	hcs
瘠	hcsm
犀	hcw
兆	hcz
厕	hczc
康	hdc
疔	hdd
厩	hdj
疴	hdk
唐	hdl
庸	hdm
疟	hdn
殷	hdo
庚	hds
赓	hdsc
厅	hdt
痕	hdy
疟	hdya
承	hec
痱	hef
虺	heh
瘗	hei
瘛	hel
庵	hen
庆	heq
儿	her
痍	hez
瘫	hfe
反	hff
釜	hfi
厦	hfj
返	hfl
疼	hfn
父	hfu
瘙	hfv
癍	hfy
孜	hfz
屣	hgg
孩	hgh
库	hgk
瘴	hgn
癔	hgnj
屦	hgo
瘢	hgof
屐	hgp
厍	hgs
履	hgt
疵	hgu
教	hhf
孱	hhh
癖	hhk
疗	hhl
屠	hhn
疬	hho
癜	hhr
疣	hhv
庑	hhw
孝	hhx
瘾	hia
屙	hid
癃	hif
邝	hik
痞	hikp
逊	hil
瘕	hilf
屑	him
瘅	hio
廉	hiq
屏	hir
屏	hirb
孙	his
疝	hish
应	hiy
顾	hjc
厄	hje
孑	hji
疖	hjj
癯	hjje
痛	hjo
眚	hjs
瘪	hjsu
尴	hjt
爷	hjy
亟	hkf
避	hkg
嬖	hkga
壁	hkgb
擘	hkgd
譬	hkgl
臂	hkgm
甓	hkgo
辟	hkgp
璧	hkgv
檗	hkgx
襞	hkgy
劈	hkgz
鐾	hkgz
愿	hki
癌	hkia
痼	hkm
庳	hkmp
了	hle
疳	hlg
了	hli
眉	hlj
鹛	hlje
厉	hll
疠	hlli
励	hlo
庭	hmb
居	hmj
属	hmk
爹	hmm
无	hmo
瘵	hmv
剧	hmz
厘	hnb
廛	hnbb
层	hnc
疸	hnd
疒	hne
厚	hnh
都	hni
瘟	hno
孺	hnt
翥	hnu
煮	hnv
者	hnz
屡	hoa
瘘	hoal
痘	hod
厨	hodc
疫	hof
孤	hog
局	hok
孔	hok
尻	hoka
痂	hokj
瘸	hokm
历	hol
孟	hom
疡	homm
勐	hoo
疯	hor
屎	hos
厮	hox
痈	hoy
质	hpc
庋	hpf
廓	hph
盾	hpj
遁	hpjl
庐	hpl
癫	hpt
痫	hpx
症	hqg
屋	hqj
考	hqo
病	hqu
癣	hqw
癀	hrb
瘩	hre
度	hrf
庹	hrh
屈	hri
殿	hrif
臀	hrim
厝	hrn
瘼	hrne
屉	hro
痨	hru
庶	hrv
鹧	hrve
遮	hrvl
展	hry
痖	hrya
席	hryx
厥	hsa
劂	hsaz
府	hsd
腐	hsdm
雁	hse
赝	hsec
鹰	hsee
膺	hsem
痊	hsf
生	hsh
尸	hshi
尬	hsi
疥	hsij
瘊	hsit
疮	hsj
座	hss
痤	hssb
疹	hsu
庥	hsx
仄	hsz
痿	hta
疾	htj
疽	htju
痴	htk
痦	htkw
痄	htl
疙	hto
痢	htz
废	huf
廑	huj
老	hul
胤	hum
尼	hun
耆	hunq
疲	hup
庀	hupi
耋	huq
廖	hus
瘳	husu
屁	huu
庇	huub
耄	huum
瘤	huv
尾	huw
尾	huy
尺	hvc
尉	hvd
廊	hvdi
慰	hvdj
熨	hvdv
疰	hvf
孓	hvj
店	hvk
咫	hvki
迟	hvl
昼	hvn
痰	hvv
尤	hvy
尢	hwa
爸	hwb
疤	hwba
靥	hwf
魇	hwk
厣	hwn
瘥	hwo
餍	hwoy
庞	hwp
兀	hwu
瘃	hwv
羼	hww
庠	hwx
痒	hwy
厌	hwya
辰	hwyc
辱	hwyd
蜃	hwye
唇	hwyk
床	hxc
斧	hxf
厢	hxj
癞	hxk
瘌	hxkz
廪	hyk
瘀	hys
瘁	hysp
痃	hyu
底	hyv
瘭	hyvb
刷	hyz
子	hzi
序	hzx
陷	iab
隐	iad
峥	iadl
岣	iag
孬	iah
峋	ian
陶	iao
欲	iay
八	iba
尘	ibc
峙	ibd
陵	ibi
崽	ibj
兽	ibq
堂	ibt
不	ibu
岫	ibx
隈	iby
窦	icj
阱	icji
隘	ico
陉	icox
赏	ics
嵴	icsm
州	icz
当	idd
归	idg
阿	idk
岢	idkk
窘	idm
限	idy
掌	idz
崔	iec
匮	ieck
拳	ied
崎	iedk
匪	ief
关	ieg
险	iei
尜	ieig
陕	ieis
峡	ieix
郑	ieiz
卷	iej
尖	iej
眷	iejj
岭	iejl
送	iel
兰	iela
酆	ieli
誊	ielt
嵛	iem
窬	iemz
崦	ien
岑	ieo
雀	ieq
雀	ieqi
鲞	ieqx
窥	ieu
豢	iew
桊	iex
鹆	iey
券	iez
匚	ifa
敞	ifc
峰	ife
降	ifg
降	ifgx
匡	ifk
随	ifm
堕	ifmb
陌	ifn
隋	ifo
隳	ifoj
隆	ifq
阝	ifu
氅	ifuc
炭	ifv
峄	ifw
岩	ify
陡	igd
陔	igg
陟	igi
骘	igiw
陪	igk
障	ign
窨	igny
嶂	ignz
匦	igo
嶝	igod
谷	igu
崭	igx
阵	igz
崖	ihb
窕	ihc
党	ihd
阪	ihf
光	ihg
嵋	ihl
匹	ihp
窟	ihr
崛	ihri
辉	ihu
耀	ihue
阢	ihw
岸	ihx
兵	iib
岿	iid
窿	iif
巨	iij
誉	iil
峭	iim
隙	iin
崆	iio
邱	iiq
嵫	iiqu
岖	iir
隧	iiw
邃	iiwl
兴	iix
岳	iiy
峪	iiyu
穿	ijc
颂	ijcs
陬	ijf
公	ijg
峻	iji
凯	ijo
瓮	ijow
岂	ijq
屺	ijqi
省	ijs
翁	iju
觊	ijuh
省	ijx
岈	ijy
剀	ijz
凵	ika
陨	ikc
否	ikf
隍	ikfh
兑	ikh
隗	ikhj
嵬	ikhj
总	ikj
窗	ikm
崮	ikmg
陴	ikmp
叵	ikp
否	ikpi
窝	iku
窜	ikv
嵌	ila
还	ilh
阡	ilq
陲	ilr
岌	ilv
遐	ilw
丫	ily
峨	imd
峤	ime
岵	imh
逍	iml
窆	imlb
崩	imm
乒	imp
岁	ims
肖	imx
穸	imxi
阴	imy
削	imz
刿	imzg
郾	ina
陧	inb
岬	inj
峁	inm
隰	inu
隅	inw
匣	inx
窠	inxk
阳	iny
窭	ioa
嵝	ioal
甭	iob
单	ioc
单	iod
冁	ioh
郸	ioi
究	ioj
空	iok
劣	iol
嶙	iom
窳	ioo
穷	ioq
窍	ioqo
岚	ior
单	ios
窑	ioy
岐	ipf
崞	iph
嵩	ips
巅	ipt
陀	ipu
匾	ipur
崇	ipv
院	ipw
兼	iqd
歉	iqda
鹣	iqde
歪	iqg
丘	iqi
凵	iqi
邳	iqip
夔	iqj
窒	iqjb
隔	iqk
剪	iqm
翦	iqmu
煎	iqmv
兮	iqo
丕	iqp
慈	iqu
鹚	ique
孳	iquh
陋	iquo
兹	iquu
师	iqy
欧	ira
并	irb
鸥	ire
匿	irf
慝	irfj
崤	irfm
迸	irl
普	irn
瓯	iro
殴	irof
瓶	irop
区	irou
区	irq
岍	irqi
崂	iru
嵘	irux
窀	irz
坠	isb
队	isd
附	isdf
除	isdi
山	ish
尚	isha
阶	isi
岷	ism
巍	ita
颛	itc
窄	itl
遄	itlc
阼	itlw
屹	ito
翳	itou
嵊	itx
医	ity
阻	itz
泶	iuc
学	iuh
岘	iuhx
陈	iui
岽	iuid
尝	iun
窈	iuo
陂	iup
鲎	iuq
峒	iuqk
岗	iur
黉	iuri
嶷	iut
幽	iuu
陛	iuub
觉	iuuh
喾	iuw
窃	iuz
际	ivj
阽	ivk
曾	ivn
甑	ivno
乓	ivp
岜	iwb
阮	iwh
陆	iwi
窖	iwk
陇	iwl
遂	iwls
叛	iwm
判	iwmz
屿	iwo
嵯	iwoc
突	iwt
豳	iww
小	ixi
崧	ixij
崃	ixil
匠	ixj
棠	ixt
穴	ixu
崾	iya
常	iyc
防	iyf
帘	iyl
尊	iyq
奠	iyqe
遵	iyql
遒	iyql
酋	iyqq
猷	iyqw
帅	iys
裳	iysh
匝	iyz
崴	iza
坌	izb
贫	izc
颁	izcb
分	izf
岔	izi
忿	izj
弟	izl
鹈	izle
递	izll
剃	izlz
盆	izo
穹	izq
赜	jac
睁	jad
瞻	jah
龅	jaj
睛	jam
殉	jan
恂	janx
懊	jao
懈	jaow
愫	jau
眭	jbb
恃	jbd
睨	jbh
必	jbi
睦	jbib
悻	jbix
怯	jbj
瞌	jbjo
瞍	jbl
鼻	jbq
齄	jbqn
聘	jbqo
鼽	jbqo
鼾	jbqx
劓	jbqz
殪	jbu
齿	jch
悖	jchb
颐	jcy
恻	jcz
歹	jda
忖	jdc
盯	jdd
耵	jddi
慨	jdj
射	jds
盱	jdx
眼	jdy
恨	jdyh
龈	jdyy
畚	jeb
愦	jec
聩	jeck
叁	jee
悱	jef
鹘	jeg
鹘	jeh
殍	jehp
睑	jei
殓	jeil
龄	jej
怜	jejl
聆	jejl
恰	jek
愉	jem
耳	jer
睢	jes
参	jeu
瞬	jeug
毵	jeuu
瞧	jev
憔	jevq
惟	jew
睬	jex
鸦	jey
娶	jfa
怪	jfb
坚	jfbj
贤	jfc
聂	jff
颞	jffc
改	jfg
竖	jfgs
恪	jfk
骼	jfkg
肾	jfm
惰	jfo
髓	jfol
取	jfq
聚	jfs
鄹	jfsi
紧	jfu
恢	jfv
怿	jfw
怖	jfy
耻	jgc
龊	jgch
睽	jge
骸	jgh
忙	jgm
瞳	jgn
憧	jgnb
瞪	jgo
眦	jgu
龇	jguz
惭	jgx
睚	jhb
眺	jhc
慷	jhd
慵	jhdl
殛	jhk
瞩	jhm
睹	jhn
龌	jhq
怩	jhu
忧	jhv
惦	jhvk
怃	jhw
恹	jhwy
性	jhx
允	jhy
瞠	jib
惝	jic
联	jie
惬	jiei
眶	jif
逡	jifl
皴	jifu
怀	jih
恍	jihh
恺	jij
忪	jijs
悦	jik
聪	jikj
悄	jim
眇	jimi
惮	jio
殚	jiod
慊	jiq
躯	jir
眍	jirk
怄	jiro
快	jis
躺	jit
惴	jitz
憎	jiv
邪	jix
耶	jiy
悌	jiz
睇	jizm
盼	jizp
惨	jje
矍	jjef
瞿	jjeq
氍	jjeu
慑	jjf
悭	jjfb
悛	jji
卩	jjie
睃	jjif
忌	jjj
垒	jjjb
怡	jjk
殆	jjkd
眙	jjky
恼	jjn
巽	jjr
熙	jjv
眸	jjw
息	jjx
殒	jkc
惶	jkf
愧	jkh
职	jki
邰	jkit
怠	jkj
迨	jkl
髀	jkm
睥	jkmp
惯	jkp
台	jkt
炱	jkv
愕	jkw
悒	jkwy
悃	jkx
忏	jlc
道	jld
聒	jlg
歼	jlj
睡	jlr
恬	jlt
迓	jly
怙	jmh
骷	jmk
龋	jmkw
眨	jml
眵	jmm
恤	jmo
厶	jmou
怅	jmq
熊	jmu
殊	jmx
悝	jnb
怛	jnd
惺	jnh
忾	jnk
聊	jnl
愠	jno
恸	jnot
憬	jnp
懦	jnt
髁	jnx
悍	jnxh
惕	jny
髅	joa
髑	joae
忸	job
殁	jof
骰	joft
恿	joj
瞰	jojf
通	jol
眯	jom
瞵	jomg
勇	joo
躲	jox
忆	joy
愣	joyl
甬	joyo
聍	jpd
瞎	jpe
忮	jpf
髂	jpfk
殡	jpi
髌	jpii
惋	jpm
愤	jpr
髋	jprh
慎	jpt
殖	jpts
殖	jptz
悯	jpy
睫	jqd
怔	jqg
眄	jql
卫	jqw
瞄	jrb
弁	jrbi
盹	jrd
慌	jrg
懂	jrl
惜	jrn
懵	jro
瞒	jrw
异	jry
首	jsh
巳	jsi
厶	jsi
骱	jsij
怆	jsjc
骺	jsk
眠	jsm
殄	jsu
餮	jsuo
悔	jta
殂	jtc
悸	jth
惧	jti
龃	jtj
悟	jtk
临	jtkl
龉	jtky
怍	jtl
愎	jtn
监	jto
殇	jtom
忤	jtp
览	jtu
瞅	jtv
愀	jtvq
矣	jty
鉴	jtz
聃	jub
惆	jubk
龀	juc
殃	jue
怏	juey
恽	jug
耽	juh
忱	juhc
眈	juhd
惘	jui
瞑	jun
恫	juq
死	jus
忡	jvc
耿	jvg
悼	jvn
忭	jvv
卧	jvw
臭	jwc
离	jwl
牟	jwm
恒	jwn
臭	jwx
心	jxi
睐	jxil
忄	jxin
怦	jxip
悚	jxk
懒	jxkc
臬	jxn
怵	jxv
鼎	jxx
憷	jxxg
忻	jxxi
牙	jya
已	jyi
惚	jyj
懔	jyk
悴	jys
眩	jyu
骶	jyv
瞟	jyvp
残	jzc
忉	jzd
躬	jzg
自	jzi
怫	jzif
憾	jzk
怊	jzkc
馘	jzkq
龆	jzkt
列	jzl
烈	jzv
裂	jzy
嗷	kaa
吹	kac
啧	kacz
唛	kaf
呶	kafn
咆	kaj
响	kak
圊	kam
囡	kan
凹	kao
噢	kaoe
啕	kaot
唤	kau
嗉	kaus
的	kav
白	kba
哇	kbb
哺	kbbu
圉	kbi
嗑	kbj
咭	kbk
嗖	kbl
哧	kblc
喟	kbm
圃	kbp
鼍	kbq
吐	kbt
噎	kbu
喂	kby
呗	kcb
嚏	kcbg
嘤	kcc
郧	kci
嚣	kck
囔	kcky
勋	kco
嗌	kcoa
嗌	kcoy
泉	kcq
嗨	kct
啵	kcu
嗦	kcus
员	kcy
叮	kdd
啦	kdg
啸	kdi
唧	kdj
呵	kdk
啪	kdkp
团	kdm
吁	kdx
哳	kdxz
吁	kdy
哏	kdyg
喹	keb
啡	kef
呋	kefu
嘹	kei
恩	kej
呤	kejl
囹	kejl
哈	kek
哒	kel
鸣	kem
啥	kems
喻	kemz
吟	keo
嚼	keod
皋	kep
翱	kepu
虽	kes
嗪	ket
嗳	keu
呔	kev
噍	kevj
吴	kew
唯	kewe
唪	kewl
呜	kewu
因	key
咦	kez
呈	kfc
啜	kff
嗓	kffx
皇	kfh
郢	kfi
救	kfj
嗄	kfjf
嘎	kfjz
咯	kfk
逞	kfl
遑	kflh
囿	kfm
图	kfn
咚	kfnd
叹	kft
咴	kfv
唼	kga
咳	kgh
咳	kgk
啃	kgm
唷	kgmy
喑	kgn
噫	kgnj
噔	kgo
嘴	kgu
呲	kguc
囗	kguo
啭	kgw
啼	kgy
皈	khf
哮	khh
鬼	khj
呃	khje
魍	khjg
囝	khji
魈	khjm
魁	khjp
魃	khju
魑	khjw
魉	khjw
魅	khjx
噼	khk
呒	khm
嗲	khmm
嘱	khmw
囝	khn
喱	khnb
嘟	khni
呖	kho
吼	khoh
喔	khq
兕	khs
噘	khsa
呢	khu
嗜	khun
兄	khx
哌	khy
囝	khyu
唰	khyz
叭	kib
吵	kic
唢	kics
啊	kid
圈	kie
哐	kif
咣	kih
皑	kij
嗡	kiju
吖	kil
哨	kim
哕	kimh
嘣	kimm
哕	kimy
呸	kiq
呕	kir
喘	kit
噌	kiv
咂	kiy
只	kiz
吩	kizf
嗫	kjf
吮	kjh
唆	kji
叩	kjk
啮	kjn
嗵	kjo
吣	kjq
唉	kjt
嗅	kjw
哞	kjwm
呀	kjy
咱	kjz
戢	kjzj
咧	kjzl
圆	kkc
嗯	kke
嗥	kkep
咽	kkey
魄	kkh
啤	kkm
口	kko
唣	kku
噪	kkx
呼	klh
吏	kli
迫	klp
逑	klq
唾	klr
吕	klv
唁	kly
囱	kmc
哦	kmd
鹃	kme
固	kmg
咕	kmgu
哆	kmm
卑	kmp
鹎	kmpe
郫	kmpi
吒	kmu
喝	kna
哩	knb
嚯	kne
嘬	knj
黾	knm
唱	knn
呻	kns
嚅	knt
喁	knw
呷	knx
喽	koa
呱	kog
叽	koj
嘻	kok
咖	kokg
咖	kokk
另	kol
叻	kole
咪	kom
哝	kon
叼	koq
粤	koqo
圜	koqy
嘭	kou
嘶	kox
哚	koxd
别	koz
咒	kozh
贯	kpc
咛	kpd
喀	kpf
吱	kpfz
哼	kph
品	kpi
嘧	kpj
鄙	kpk
咤	kpm
嚓	kpmv
嘲	kpn
啶	kpq
喷	kpr
噻	kprb
嗔	kpt
喃	kpu
嚎	kpuw
唳	kpw
皖	kpwh
喧	kpwn
叶	kpx
叶	kpy
求	kqi
嗝	kqk
噜	kqn
哽	kqnr
号	kqo
饕	kqoo
喵	krb
吨	krd
囤	krdu
嗒	kre
喏	krf
唏	krfy
哄	kri
咄	krid
噶	krn
嘈	krnn
呓	kro
喋	krox
嚆	krp
曲	krq
嗤	krqe
哎	krr
嗬	krsk
囤	krt
唠	kru
噗	krw
囟	krx
哑	kry
咐	ksd
咿	ksdm
史	ksh
事	kshi
喉	ksi
呛	ksj
噙	ksjw
嗍	ksm
哙	ksn
囚	ksq
唑	kss
囵	ksu
哗	ksup
咻	ksx
皤	kti
咀	ktj
唔	ktk
圄	ktky
咋	ktl
嘛	ktm
噬	kto
凸	ktu
啾	ktv
咀	ktz
哟	kua
啁	kub
叱	kuc
兜	kui
叫	kuj
呦	kuo
嘞	kuol
嗣	kur
呐	kus
呙	kusg
咝	kusi
剐	kusz
吡	kuu
喈	kuuk
哔	kuup
吆	kuy
皂	kuz
卟	kvb
串	kvc
啷	kvd
嘿	kvh
吓	kvhe
患	kvj
咏	kvo
啖	kvv
咔	kvvk
吓	kvx
吧	kwb
囗	kwe
吠	kwf
园	kwh
哭	kwk
皓	kwkh
器	kwkq
咙	kwl
骂	kwm
咩	kwmi
围	kwo
颚	kwoc
鹗	kwoe
唬	kwoh
鄂	kwoi
嗟	kwoj
嘘	kwr
啄	kwv
喙	kww
噱	kwwx
邑	kwy
呆	kxd
困	kxk
嗽	kxka
喇	kxkz
喳	kxn
听	kxt
味	kxw
啉	kxx
噤	kxxv
帛	kyb
吊	kyd
邀	kyf
敫	kyfj
囫	kyh
嘀	kyi
唿	kyj
嚷	kyk
吭	kyo
裘	kyq
咬	kyr
哜	kyri
皎	kyrj
哂	kys
啐	kysp
嗾	kyt
嘌	kyv
吻	kyw
叨	kzd
哓	kzh
哪	kzi
喊	kzk
吲	kzl
叨	kzt
嘁	kzv
谄	lab
诌	lad
诤	ladl
诡	lah
谵	lahl
娈	lal
请	lam
询	lan
歃	lba
诖	lbb
诗	lbd
谡	lbi
诘	lbk
谓	lbm
谀	lbs
辶	lch
读	lcj
谥	lco
训	lcx
订	ldd
诃	ldk
挛	ldl
讨	ldt
谴	leb
虿	lec
诽	lef
鸹	leg
舔	lej
鸾	lel
蛮	lem
谕	lemz
谣	leo
谂	leoj
谁	les
谯	lev
谖	lew
奕	ley
变	lfb
敌	lfd
盈	lfo
戤	lfoz
诙	lfv
译	lfw
甘	lga
趸	lgd
该	lgg
谚	lgm
谙	lgn
辞	lgp
丨	lgu
讯	lgx
谛	lgy
谤	lgyb
孪	lhl
诸	lhn
乎	lhu
孕	lhy
诓	lif
尕	lig
邯	lih
谠	lihd
谮	lihn
讵	lii
讼	lij
说	lik
峦	lil
诮	lim
谦	liq
谫	liqz
谱	lir
讴	liro
诀	lis
讪	lish
谢	ljd
诹	ljf
记	ljj
憩	ljjq
诒	ljk
恋	ljl
诵	ljo
谧	ljom
诶	ljt
鼐	ljx
讶	ljy
误	lke
识	lki
谔	lkw
话	llh
迹	llj
迈	llm
迁	llq
适	lls
甜	llt
谋	llx
诞	lmg
诂	lmgu
脔	lml
万	lmo
诛	lmx
乃	lna
谘	lnak
谒	lnao
旧	lnj
谩	lno
重	lnw
课	lnx
设	lof
讧	loh
讥	loj
谜	lol
劢	lom
谌	loo
词	loq
讽	lor
诬	los
谆	lph
谅	lpi
计	lpj
诧	lpm
谊	lpt
谝	lpu
谳	lpuw
谰	lpx
证	lqg
千	lqi
芈	lqv
诺	lrf
谎	lrg
诎	lri
谟	lrn
谍	lro
垂	lrw
弈	lry
诠	lsf
舌	lsh
诟	lsk
认	lsr
谶	lss
论	lsu
讹	lsue
诊	lsuz
诲	lta
诿	ltaw
语	ltk
诱	ltl
诈	ltlw
讫	lto
许	ltp
诅	ltz
调	lub
诨	lug
谨	luj
诣	lun
试	luo
讷	lus
谬	lusu
谐	luu
诩	lux
讣	lvf
及	lvj
议	lvr
谈	lvv
燮	lvvf
熏	lvw
万	lwa
谑	lwd
诳	lwf
诜	lwh
诰	lwk
谗	lwn
讳	lwo
诼	lwv
详	lwx
评	lxi
讦	lxj
栾	lxl
诔	lxle
某	lxm
乖	lxu
诉	lxv
谏	lxvj
言	lya
讠	lya
也	lye
访	lyf
亦	lyi
谪	lyim
廴	lyin
谭	lyn
舐	lys
谇	lysp
诋	lyv
刮	lzg
之	lzh
诏	lzk
銮	lzl
诚	lzo
诫	lzr
谲	lzu
弯	lzw
脆	mah
胞	maj
腈	mam
朐	maq
肷	maqi
胸	mar
肚	mbd
膊	mbdb
脯	mbf
丢	mbj
脚	mbjj
腮	mbjs
廷	mbl
脯	mbp
壬	mbr
腴	mbs
脖	mch
肼	mcj
胫	mco
我	md
腱	mdw
腿	mdy
肘	mdz
鹅	mdze
腠	mee
肤	mef
腓	mefe
鸪	meg
脬	meh
脸	mei
岙	meia
乔	meiq
迭	mel
腧	mem
腌	men
失	mes
肽	mev
胯	mew
夭	mey
胰	mez
故	mfg
肱	mfj
腼	mfjm
胳	mfk
舛	mgc
胲	mgh
延	mgl
臆	mgn
辜	mgp
古	mgu
桀	mgx
膀	mgy
膪	mgyk
脏	mhb
脲	mhc
臁	mhi
克	mhk
兢	mhm
胜	mhs
腑	mhsd
膛	mib
朕	mie
媵	miea
塍	mieb
滕	miec
腾	miew
胱	mih
脱	mik
嘏	mil
腔	mio
胚	miq
膣	miqb
胼	mir
胖	miw
鸳	mje
服	mjf
怨	mjj
眢	mjjy
胎	mjk
么	mjm
脑	mjn
腺	mkc
胭	mke
名	mkm
脾	mkmp
脶	mku
禹	mkw
腭	mkwo
臊	mkx
乏	mlf
多	mmd
鹏	mme
鹕	mmeh
胡	mmh
朋	mmp
胀	mmq
胆	mnd
腥	mnh
胛	mnj
腽	mno
胂	mns
睾	mob
股	mof
肛	mog
胍	mogu
胁	moi
衅	moil
肌	moj
肋	mol
肠	mom
膦	momg
脒	momi
脓	mon
衄	moo
臌	mop
甩	mos
飧	mosu
膨	mou
血	mox
胺	mpa
肢	mpf
丿	mpi
膑	mpii
腕	mpm
腚	mpq
夤	mpqi
腩	mpu
腙	mpv
脘	mpw
膈	mqk
长	mqo
肺	mqy
腊	mrn
膜	mrne
肉	mro
升	mrs
朦	mru
脎	mrx
肫	mrz
脍	msn
脞	mss
胗	msu
胙	mtl
腹	mtn
肜	muc
胨	mui
脂	mun
胴	muq
肜	mur
腆	muri
肭	mus
乇	mut
腻	muw
乇	muz
汆	mvc
胪	mvh
祭	mvj
脉	mvo
籴	mvod
入	mvr
胩	mvv
外	mvw
肿	mvz
祭	mvz
炙	mvzh
肥	mwf
朊	mwh
膳	mwi
胧	mwl
肟	mwo
豚	mwt
然	mwv
肝	mxg
夕	mxi
邾	mxiz
膝	mxs
朱	mxz
腰	mya
币	myb
肪	myf
丿	myi
膻	myk
肮	myo
胶	myr
脐	myri
腋	mys
月	myu
